edition	version	module	symsrv_key	pdb_path
classic	1.09	D2Launch.dll	3B7C50AB1	C:\Projects\Diablo2\Release\D2Launch.pdb
classic	1.09	D2MCPClient.dll	3B7C4F751	C:\Projects\Diablo2\Release\D2MCPClient.pdb
classic	1.09	D2Multi.dll	3B7C50B61	C:\Projects\Diablo2\Release\D2Multi.pdb
classic	1.09	D2Net.dll	3B7C4ED31	C:\Projects\Diablo2\Release\D2Net.pdb
classic	1.09	D2Sound.dll	3B7C4F791	C:\Projects\Diablo2\Release\D2Sound.pdb
classic	1.09	D2Win.dll	3B7C4F8D1	C:\Projects\Diablo2\Release\D2Win.pdb
classic	1.09	D2gfx.dll	3B7C4F711	C:\Projects\Diablo2\Release\D2gfx.pdb
classic	1.09	Fog.dll	3B7C4E0F1	C:\Projects\Diablo2\Release\Fog.pdb
classic	1.09	Storm.dll	3B4B41D81	C:\Projects\Diablo2\Release\Storm.pdb
classic	1.09b	Bnclient.dll	3B900E8B1	C:\Projects\D2109r-pin\Diablo2\Release\Bnclient.pdb
classic	1.09b	D2CMP.dll	3B7C4E191	C:\Projects\Diablo2\Release\D2CMP.pdb
classic	1.09b	D2Client.dll	3B7C50761	C:\Projects\Diablo2\Release\D2Client.pdb
classic	1.09b	D2Common.dll	3B7C4EA31	C:\Projects\Diablo2\Release\D2Common.pdb
classic	1.09b	D2DDraw.dll	3B7C50891	C:\Projects\Diablo2\Release\D2DDraw.pdb
classic	1.09b	D2Direct3D.dll	3B7C50901	C:\Projects\Diablo2\Release\D2Direct3D.pdb
classic	1.09b	D2Game.dll	3B7C4F631	C:\Projects\Diablo2\Release\D2Game.pdb
classic	1.09b	D2Gdi.dll	3B7C50961	C:\Projects\Diablo2\Release\D2Gdi.pdb
classic	1.09b	D2Glide.dll	3B7C509D1	C:\Projects\Diablo2\Release\D2Glide.pdb
classic	1.09b	D2Lang.dll	3B7C4E1E1	C:\Projects\Diablo2\Release\D2Lang.pdb
classic	1.09b	D2Launch.dll	3B7C50AB1	C:\Projects\Diablo2\Release\D2Launch.pdb
classic	1.09b	D2MCPClient.dll	3B7C4F751	C:\Projects\Diablo2\Release\D2MCPClient.pdb
classic	1.09b	D2Multi.dll	3B7C50B61	C:\Projects\Diablo2\Release\D2Multi.pdb
classic	1.09b	D2Net.dll	3B7C4ED31	C:\Projects\Diablo2\Release\D2Net.pdb
classic	1.09b	D2Sound.dll	3B7C4F791	C:\Projects\Diablo2\Release\D2Sound.pdb
classic	1.09b	D2Win.dll	3B7C4F8D1	C:\Projects\Diablo2\Release\D2Win.pdb
classic	1.09b	D2gfx.dll	3B7C4F711	C:\Projects\Diablo2\Release\D2gfx.pdb
classic	1.09b	Fog.dll	3B7C4E0F1	C:\Projects\Diablo2\Release\Fog.pdb
classic	1.09b	Storm.dll	3B4B41D81	C:\Projects\Diablo2\Release\Storm.pdb
classic	1.09d	Bnclient.dll	3C06FD111	C:\Src\Diablo2\Release\Bnclient.pdb
classic	1.09d	D2CMP.dll	3C06FCEC1	C:\Src\Diablo2\Release\D2CMP.pdb
classic	1.09d	D2Client.dll	3C0700B01	C:\Src\Diablo2\Release\D2Client.pdb
classic	1.09d	D2Common.dll	3C06FDCC1	C:\Src\Diablo2\Release\D2Common.pdb
classic	1.09d	D2DDraw.dll	3C0700E71	C:\Src\Diablo2\Release\D2DDraw.pdb
classic	1.09d	D2Direct3D.dll	3C0700F91	C:\Src\Diablo2\Release\D2Direct3D.pdb
classic	1.09d	D2Game.dll	3C06FED81	C:\Src\Diablo2\Release\D2Game.pdb
classic	1.09d	D2Gdi.dll	3C07010A1	C:\Src\Diablo2\Release\D2Gdi.pdb
classic	1.09d	D2Glide.dll	3C07011E1	C:\Src\Diablo2\Release\D2Glide.pdb
classic	1.09d	D2Lang.dll	3C06FCF91	C:\Src\Diablo2\Release\D2Lang.pdb
